idiom,decade,rank,token,prob_mean
a bitter pill to swallow,1950,17,in,0.000008
a bitter pill to swallow,1950,18,nearly,0.000008
a bitter pill to swallow,1950,19,perhaps,0.000006
a bitter pill to swallow,1960,0,a,0.985582
a bitter pill to swallow,1960,1,his,0.015412
a bitter pill to swallow,1960,2,the,0.001885
a bitter pill to swallow,1960,3,rather,0.001497
a bitter pill to swallow,1960,4,very,0.001469
a bitter pill to swallow,1960,5,this,0.000500
a bitter pill to swallow,1960,6,some,0.000481
a bitter pill to swallow,1960,7,somewhat,0.000464
a bitter pill to swallow,1960,8,no,0.000407
a bitter pill to swallow,1960,9,another,0.000374
a bitter pill to swallow,1960,10,one,0.000331
a bitter pill to swallow,1960,11,that,0.000240
a bitter pill to swallow,1960,12,an,0.000183
a bitter pill to swallow,1960,13,too,0.000142
a bitter pill to swallow,1960,14,extremely,0.000105
a bitter pill to swallow,1960,15,most,0.000100
a bitter pill to swallow,1960,16,any,0.000076
a bitter pill to swallow,1960,17,their,0.000063
a bitter pill to swallow,1960,18,pretty,0.000057
a bitter pill to swallow,1960,19,is,0.000053
a bitter pill to swallow,1970,0,a,0.581608
a bitter pill to swallow,1970,1,the,0.266691
a bitter pill to swallow,1970,2,another,0.074977
a bitter pill to swallow,1970,3,one,0.072435
a bitter pill to swallow,1970,4,its,0.002886
a bitter pill to swallow,1970,5,my,0.001500
a bitter pill to swallow,1970,6,their,0.000835
a bitter pill to swallow,1970,7,his,0.000685
a bitter pill to swallow,1970,8,our,0.000503
a bitter pill to swallow,1970,9,very,0.000194
a bitter pill to swallow,1970,10,her,0.000186
a bitter pill to swallow,1970,11,and,0.000119
a bitter pill to swallow,1970,12,every,0.000099
a bitter pill to swallow,1970,13,most,0.000095
a bitter pill to swallow,1970,14,this,0.000091
a bitter pill to swallow,1970,15,no,0.000078
a bitter pill to swallow,1970,16,that,0.000068
a bitter pill to swallow,1970,17,an,0.000067
a bitter pill to swallow,1970,18,whose,0.000064
a bitter pill to swallow,1970,19,some,0.000055
a bitter pill to swallow,1980,0,a,0.947057
a bitter pill to swallow,1980,1,the,0.025440
a bitter pill to swallow,1980,2,one,0.016081
a bitter pill to swallow,1980,3,now,0.003838
a bitter pill to swallow,1980,4,an,0.003417
a bitter pill to swallow,1980,5,being,0.003193
a bitter pill to swallow,1980,6,to,0.002235
a bitter pill to swallow,1980,7,some,0.001552
a bitter pill to swallow,1980,8,no,0.000985
a bitter pill to swallow,1980,9,making,0.000856
a bitter pill to swallow,1980,10,another,0.000770
a bitter pill to swallow,1980,11,",",0.000762
a bitter pill to swallow,1980,12,"""",0.000444
a bitter pill to swallow,1980,13,—,0.000427
a bitter pill to swallow,1980,14,about,0.000426
a bitter pill to swallow,1980,15,this,0.000403
a bitter pill to swallow,1980,16,as,0.000389
a bitter pill to swallow,1980,17,only,0.000378
a bitter pill to swallow,1980,18,rather,0.000312
a bitter pill to swallow,1980,19,very,0.000306
a bitter pill to swallow,1990,0,a,0.713164
a bitter pill to swallow,1990,1,the,0.150350
a bitter pill to swallow,1990,2,with,0.031691
a bitter pill to swallow,1990,3,on,0.030790
a bitter pill to swallow,1990,4,in,0.027781
a bitter pill to swallow,1990,5,offered,0.022688
a bitter pill to swallow,1990,6,made,0.019778
a bitter pill to swallow,1990,7,this,0.014790
a bitter pill to swallow,1990,8,that,0.012832
a bitter pill to swallow,1990,9,by,0.011900
a bitter pill to swallow,1990,10,to,0.010923
a bitter pill to swallow,1990,11,and,0.010192
a bitter pill to swallow,1990,12,along,0.009462
a bitter pill to swallow,1990,13,demanded,0.009333
a bitter pill to swallow,1990,14,his,0.008957
a bitter pill to swallow,1990,15,then,0.008457
a bitter pill to swallow,1990,16,asked,0.008323
a bitter pill to swallow,1990,17,under,0.007602
a bitter pill to swallow,1990,18,given,0.007568
a bitter pill to swallow,1990,19,through,0.007424
a bitter pill to swallow,2000,0,a,0.977314
a bitter pill to swallow,2000,1,the,0.009412
a bitter pill to swallow,2000,2,that,0.008985
a bitter pill to swallow,2000,3,no,0.001121
a bitter pill to swallow,2000,4,one,0.000738
a bitter pill to swallow,2000,5,another,0.000592
a bitter pill to swallow,2000,6,very,0.000270
a bitter pill to swallow,2000,7,this,0.000266
a bitter pill to swallow,2000,8,some,0.000257
a bitter pill to swallow,2000,9,too,0.000236
a bitter pill to swallow,2000,10,rather,0.000190
a bitter pill to swallow,2000,11,most,0.000106
a bitter pill to swallow,2000,12,which,0.000090
a bitter pill to swallow,2000,13,somewhat,0.000079
a bitter pill to swallow,2000,14,any,0.000060
a bitter pill to swallow,2000,15,my,0.000060
a bitter pill to swallow,2000,16,an,0.000055
a bitter pill to swallow,2000,17,and,0.000052
a bitter pill to swallow,2000,18,murder,0.000035
a bitter pill to swallow,2000,19,—,0.000033
a pretty penny,1890,0,deal,0.732529
a pretty penny,1890,1,sum,0.051771
a pretty penny,1890,2,amount,0.035181
a pretty penny,1890,3,farthing,0.024764
a pretty penny,1890,4,trifle,0.020712
a pretty penny,1890,5,little,0.019416
a pretty penny,1890,6,much,0.012083
a pretty penny,1890,7,price,0.006518
a pretty penny,1890,8,shilling,0.005334
a pretty penny,1890,9,large,0.004572
a pretty penny,1890,10,penny,0.004376
a pretty penny,1890,11,many,0.003754
a pretty penny,1890,12,dear,0.003159
a pretty penny,1890,13,guinea,0.003072
a pretty penny,1890,14,nothing,0.002496
a pretty penny,1890,15,lot,0.002328
a pretty penny,1890,16,burden,0.002255
a pretty penny,1890,17,thing,0.001897
a pretty penny,1890,18,fine,0.001628
a pretty penny,1890,19,while,0.001258
a pretty penny,1950,0,profit,0.728591
a pretty penny,1950,1,deal,0.662330
a pretty penny,1950,2,show,0.292437
a pretty penny,1950,3,living,0.050015
a pretty penny,1950,4,mess,0.040364
a pretty penny,1950,5,number,0.023057
a pretty penny,1950,6,sum,0.022721
a pretty penny,1950,7,income,0.020905
a pretty penny,1950,8,house,0.020425
a pretty penny,1950,9,collection,0.020348
a pretty penny,1950,10,fortune,0.017874
a pretty penny,1950,11,crowd,0.012973
a pretty penny,1950,12,row,0.012332
a pretty penny,1950,13,circle,0.012078
a pretty penny,1950,14,much,0.011668
a pretty penny,1950,15,appearance,0.011223
a pretty penny,1950,16,dividend,0.011059
a pretty penny,1950,17,amount,0.008866
a pretty penny,1950,18,city,0.008748
a pretty penny,1950,19,price,0.008015
a pretty penny,1960,0,deal,0.759575
a pretty penny,1960,1,lot,0.084216
a pretty penny,1960,2,sum,0.029550
a pretty penny,1960,3,little,0.025436
a pretty penny,1960,4,much,0.015573
a pretty penny,1960,5,dear,0.012668
a pretty penny,1960,6,amount,0.007270
a pretty penny,1960,7,trifle,0.005112
a pretty penny,1960,8,many,0.004425
a pretty penny,1960,9,thing,0.003835
a pretty penny,1960,10,large,0.003609
a pretty penny,1960,11,guinea,0.003300
a pretty penny,1960,12,shilling,0.002981
a pretty penny,1960,13,price,0.002483
a pretty penny,1960,14,while,0.002330
a pretty penny,1960,15,nothing,0.002298
a pretty penny,1960,16,life,0.002199
a pretty penny,1960,17,dearly,0.002080
a pretty penny,1960,18,bit,0.002012
a pretty penny,1960,19,farthing,0.001844
a pretty penny,1970,0,deal,0.787808
a pretty penny,1970,1,escape,0.108882
a pretty penny,1970,2,distinction,0.090168
a pretty penny,1970,3,profit,0.036183
a pretty penny,1970,4,sum,0.034507
a pretty penny,1970,5,distance,0.031672
a pretty penny,1970,6,difference,0.031268
a pretty penny,1970,7,quotation,0.030915
a pretty penny,1970,8,retreat,0.030617
a pretty penny,1970,9,deduction,0.030282
a pretty penny,1970,10,trifle,0.022426
a pretty penny,1970,11,selection,0.021786
a pretty penny,1970,12,return,0.021155
a pretty penny,1970,13,contribution,0.020485
a pretty penny,1970,14,amount,0.018962
a pretty penny,1970,15,rent,0.018227
a pretty penny,1970,16,sweep,0.016356
a pretty penny,1970,17,exit,0.016119
a pretty penny,1970,18,holiday,0.015701
a pretty penny,1970,19,convert,0.014761
a pretty penny,1980,0,profit,0.391233
a pretty penny,1980,1,calculation,0.291492
a pretty penny,1980,2,deal,0.285004
a pretty penny,1980,3,fee,0.186099
a pretty penny,1980,4,fine,0.108259
a pretty penny,1980,5,price,0.096979
a pretty penny,1980,6,guess,0.086034
a pretty penny,1980,7,fortune,0.083118
a pretty penny,1980,8,bet,0.081335
a pretty penny,1980,9,horse,0.053471
a pretty penny,1980,10,living,0.053063
a pretty penny,1980,11,dog,0.040821
a pretty penny,1980,12,smart,0.037888
a pretty penny,1980,13,penalty,0.028231
a pretty penny,1980,14,cat,0.027292
a pretty penny,1980,15,mess,0.026920
a pretty penny,1980,16,stone,0.025099
a pretty penny,1980,17,start,0.024364
a pretty penny,1980,18,sum,0.023552
a pretty penny,1980,19,salary,0.022250
a pretty penny,1990,0,deal,0.605241
a pretty penny,1990,1,show,0.041453
a pretty penny,1990,2,much,0.038386
a pretty penny,1990,3,little,0.035162
a pretty penny,1990,4,house,0.034451
a pretty penny,1990,5,fortune,0.032589
a pretty penny,1990,6,farthing,0.032153
a pretty penny,1990,7,of,0.030359
a pretty penny,1990,8,collection,0.028923
a pretty penny,1990,9,sum,0.027761
a pretty penny,1990,10,machine,0.025883
a pretty penny,1990,11,living,0.024540
a pretty penny,1990,12,calculation,0.020075
a pretty penny,1990,13,bet,0.019717
a pretty penny,1990,14,salary,0.017490
a pretty penny,1990,15,amount,0.016186
a pretty penny,1990,16,",",0.016132
a pretty penny,1990,17,fancy,0.015965
a pretty penny,1990,18,business,0.015068
a pretty penny,1990,19,story,0.013708
a pretty penny,2000,0,deal,0.860991
a pretty penny,2000,1,sum,0.022106
a pretty penny,2000,2,much,0.014374
a pretty penny,2000,3,lot,0.013763
a pretty penny,2000,4,amount,0.012337
a pretty penny,2000,5,little,0.009610
a pretty penny,2000,6,price,0.007229
a pretty penny,2000,7,farthing,0.004771
a pretty penny,2000,8,trifle,0.004710
a pretty penny,2000,9,guinea,0.004074
a pretty penny,2000,10,large,0.003487
a pretty penny,2000,11,dear,0.003364
a pretty penny,2000,12,shilling,0.003213
a pretty penny,2000,13,many,0.003196
a pretty penny,2000,14,penalty,0.002200
a pretty penny,2000,15,thing,0.001986
a pretty penny,2000,16,penny,0.001633
a pretty penny,2000,17,fine,0.001304
a pretty penny,2000,18,bill,0.001284
a pretty penny,2000,19,fee,0.001262
back to square one,1960,0,years,0.439665
back to square one,1960,1,back,0.363436
back to square one,1960,2,enough,0.246885
back to square one,1960,3,exports,0.191519
back to square one,1960,4,on,0.147279
back to square one,1960,5,spent,0.145475
back to square one,1960,6,thing,0.129137
back to square one,1960,7,expended,0.125290
back to square one,1960,8,prices,0.116817
back to square one,1960,9,obliged,0.112494
back to square one,1960,10,able,0.102596
back to square one,1960,11,time,0.097833
back to square one,1960,12,going,0.090406
back to square one,1960,13,only,0.087006
back to square one,1960,14,down,0.086040
back to square one,1960,15,unable,0.070283
back to square one,1960,16,but,0.065430
back to square one,1960,17,never,0.064201
back to square one,1960,18,know,0.063421
back to square one,1960,19,compelled,0.058071
back to square one,1970,0,back,0.386472
back to square one,1970,1,progress,0.318778
back to square one,1970,2,penny,0.195587
back to square one,1970,3,reduction,0.193662
back to square one,1970,4,attempt,0.179028
back to square one,1970,5,on,0.136882
back to square one,1970,6,them,0.132363
back to square one,1970,7,stage,0.123145
back to square one,1970,8,going,0.117385
back to square one,1970,9,enough,0.112803
back to square one,1970,10,able,0.108186
back to square one,1970,11,obliged,0.106840
back to square one,1970,12,unable,0.083190
back to square one,1970,13,down,0.081163
back to square one,1970,14,",",0.081143
back to square one,1970,15,stages,0.075771
back to square one,1970,16,.,0.074521
back to square one,1970,17,falling,0.066985
back to square one,1970,18,restored,0.057803
back to square one,1970,19,it,0.056959
back to square one,1980,0,pounds,0.376264
back to square one,1980,1,back,0.317995
back to square one,1980,2,money,0.235817
back to square one,1980,3,returning,0.175394
back to square one,1980,4,on,0.127347
back to square one,1980,5,preferable,0.127158
back to square one,1980,6,able,0.123816
back to square one,1980,7,millions,0.122424
back to square one,1980,8,obliged,0.113892
back to square one,1980,9,",",0.104873
back to square one,1980,10,unable,0.099291
back to square one,1980,11,down,0.093849
back to square one,1980,12,dollars,0.084303
back to square one,1980,13,reduced,0.081592
back to square one,1980,14,entitled,0.077710
back to square one,1980,15,going,0.075775
back to square one,1980,16,compelled,0.072615
back to square one,1980,17,glad,0.059715
back to square one,1980,18,up,0.053833
back to square one,1980,19,one,0.052888
back to square one,1990,0,pounds,0.948732
back to square one,1990,1,back,0.362940
back to square one,1990,2,negotiations,0.175732
back to square one,1990,3,reduced,0.134535
back to square one,1990,4,on,0.125727
back to square one,1990,5,obliged,0.115011
back to square one,1990,6,got,0.114312
back to square one,1990,7,able,0.114247
back to square one,1990,8,done,0.108814
back to square one,1990,9,approaching,0.108327
back to square one,1990,10,preferable,0.100843
back to square one,1990,11,down,0.099227
back to square one,1990,12,come,0.085387
back to square one,1990,13,upstairs,0.084526
back to square one,1990,14,enough,0.083083
back to square one,1990,15,unable,0.078827
back to square one,1990,16,going,0.073125
back to square one,1990,17,compelled,0.062485
back to square one,1990,18,nearer,0.061555
back to square one,1990,19,bound,0.059022
back to square one,2000,0,pounds,0.883698
back to square one,2000,1,back,0.325182
back to square one,2000,2,long,0.282348
back to square one,2000,3,going,0.209468
back to square one,2000,4,.,0.159238
back to square one,2000,5,compensation,0.135901
back to square one,2000,6,down,0.134889
back to square one,2000,7,on,0.132076
back to square one,2000,8,years,0.119325
back to square one,2000,9,;,0.109498
back to square one,2000,10,justice,0.099306
back to square one,2000,11,obliged,0.094468
back to square one,2000,12,bound,0.094433
back to square one,2000,13,death,0.076498
back to square one,2000,14,unable,0.070932
back to square one,2000,15,reduced,0.067977
back to square one,2000,16,able,0.060136
back to square one,2000,17,compelled,0.054712
back to square one,2000,18,trying,0.053877
back to square one,2000,19,loss,0.051859
beat around the bush,1980,0,beating,0.335029
beat around the bush,1980,1,wandering,0.197885
beat around the bush,1980,2,go,0.137672
beat around the bush,1980,3,wander,0.102892
beat around the bush,1980,4,run,0.047306
beat around the bush,1980,5,hunting,0.045629
beat around the bush,1980,6,beat,0.042658
beat around the bush,1980,7,hunt,0.037838
beat around the bush,1980,8,dance,0.037125
beat around the bush,1980,9,walking,0.032467
beat around the bush,1980,10,going,0.032155
beat around the bush,1980,11,dig,0.031345
beat around the bush,1980,12,hang,0.028514
beat around the bush,1980,13,running,0.027935
beat around the bush,1980,14,playing,0.027776
beat around the bush,1980,15,fighting,0.026692
beat around the bush,1980,16,look,0.025684
beat around the bush,1980,17,stand,0.023052
beat around the bush,1980,18,looking,0.019025
beat around the bush,1980,19,be,0.018101
beat around the bush,2000,0,go,0.202267
beat around the bush,2000,1,wander,0.202118
beat around the bush,2000,2,look,0.069610
beat around the bush,2000,3,dig,0.048185
beat around the bush,2000,4,hunt,0.046902
beat around the bush,2000,5,stand,0.030624
beat around the bush,2000,6,run,0.029065
beat around the bush,2000,7,stray,0.022706
beat around the bush,2000,8,hang,0.020846
beat around the bush,2000,9,quarrel,0.020111
beat around the bush,2000,10,beat,0.018456
beat around the bush,2000,11,be,0.016491
beat around the bush,2000,12,fight,0.015799
beat around the bush,2000,13,dance,0.015671
beat around the bush,2000,14,turn,0.012963
beat around the bush,2000,15,gaze,0.012582
beat around the bush,2000,16,play,0.012392
beat around the bush,2000,17,hop,0.011221
beat around the bush,2000,18,gather,0.010013
beat around the bush,2000,19,fly,0.009936
bite the bullet,1950,0,face,0.148406
bite the bullet,1950,1,take,0.138508
bite the bullet,1950,2,shoot,0.036679
bite the bullet,1950,3,accept,0.026097
bite the bullet,1950,4,fight,0.024393
bite the bullet,1950,5,kick,0.024167
bite the bullet,1950,6,try,0.021884
bite the bullet,1950,7,cross,0.017998
bite the bullet,1950,8,carry,0.015799
bite the bullet,1950,9,tell,0.014929
bite the bullet,1950,10,hit,0.014454
bite the bullet,1950,11,fire,0.014162
bite the bullet,1950,12,fly,0.011968
bite the bullet,1950,13,bang,0.010059
bite the bullet,1950,14,beat,0.009663
bite the bullet,1950,15,kiss,0.009576
bite the bullet,1950,16,find,0.009141
bite the bullet,1950,17,ride,0.009109
bite the bullet,1950,18,give,0.008685
bite the bullet,1950,19,meet,0.008498
bite the bullet,1970,0,face,0.311407
bite the bullet,1970,1,bear,0.310291
bite the bullet,1970,2,pay,0.103101
bite the bullet,1970,3,accept,0.097643
bite the bullet,1970,4,adopt,0.081866
bite the bullet,1970,5,open,0.053254
bite the bullet,1970,6,tell,0.045191
bite the bullet,1970,7,shoot,0.038994
bite the bullet,1970,8,take,0.038865
bite the bullet,1970,9,kick,0.037676
bite the bullet,1970,10,carry,0.026771
bite the bullet,1970,11,share,0.025583
bite the bullet,1970,12,explain,0.024886
bite the bullet,1970,13,meet,0.024227
bite the bullet,1970,14,bang,0.023300
bite the bullet,1970,15,play,0.023276
bite the bullet,1970,16,alter,0.022789
bite the bullet,1970,17,fight,0.021411
bite the bullet,1970,18,answer,0.019503
bite the bullet,1970,19,hit,0.018848
bite the bullet,1980,0,bite,0.454101
bite the bullet,1980,1,below,0.332822
bite the bullet,1980,2,on,0.265719
bite the bullet,1980,3,money,0.157967
bite the bullet,1980,4,in,0.109700
bite the bullet,1980,5,oppose,0.108976
bite the bullet,1980,6,abolish,0.104723
bite the bullet,1980,7,behind,0.088400
bite the bullet,1980,8,put,0.088261
bite the bullet,1980,9,kill,0.085752
bite the bullet,1980,10,take,0.080025
bite the bullet,1980,11,accept,0.079649
bite the bullet,1980,12,face,0.078440
bite the bullet,1980,13,pierce,0.070861
bite the bullet,1980,14,treat,0.069928
bite the bullet,1980,15,close,0.065242
bite the bullet,1980,16,capital,0.064300
bite the bullet,1980,17,consider,0.060801
bite the bullet,1980,18,spend,0.059141
bite the bullet,1980,19,interest,0.059075
bite the bullet,1990,0,##ocate,0.781360
bite the bullet,1990,1,millions,0.470046
bite the bullet,1990,2,shillings,0.252273
bite the bullet,1990,3,purchase,0.176494
bite the bullet,1990,4,pence,0.125445
bite the bullet,1990,5,take,0.108903
bite the bullet,1990,6,express,0.101963
bite the bullet,1990,7,relieve,0.087790
bite the bullet,1990,8,address,0.086191
bite the bullet,1990,9,put,0.083517
bite the bullet,1990,10,pay,0.083326
bite the bullet,1990,11,the,0.081886
bite the bullet,1990,12,face,0.076467
bite the bullet,1990,13,retain,0.073018
bite the bullet,1990,14,base,0.071990
bite the bullet,1990,15,buy,0.067611
bite the bullet,1990,16,acquire,0.064893
bite the bullet,1990,17,postpone,0.064783
bite the bullet,1990,18,round,0.060563
bite the bullet,1990,19,alter,0.058664
bite the bullet,2000,0,swallow,0.947852
bite the bullet,2000,1,move,0.579551
bite the bullet,2000,2,advise,0.176182
bite the bullet,2000,3,put,0.139743
bite the bullet,2000,4,support,0.095378
bite the bullet,2000,5,enlighten,0.090492
bite the bullet,2000,6,bring,0.089436
bite the bullet,2000,7,inform,0.078751
bite the bullet,2000,8,accept,0.074789
bite the bullet,2000,9,increase,0.074246
bite the bullet,2000,10,take,0.070735
bite the bullet,2000,11,postpone,0.064998
bite the bullet,2000,12,win,0.064886
bite the bullet,2000,13,leave,0.064797
bite the bullet,2000,14,face,0.063876
bite the bullet,2000,15,the,0.061210
bite the bullet,2000,16,consider,0.059579
bite the bullet,2000,17,drop,0.054059
bite the bullet,2000,18,change,0.053996
bite the bullet,2000,19,",",0.053688
brass farthing,1800,0,farthing,0.389215
brass farthing,1800,1,bit,0.096574
brass farthing,1800,2,pin,0.059030
brass farthing,1800,3,##pence,0.042700
brass farthing,1800,4,##t,0.041725
brass farthing,1800,5,straw,0.041469
brass farthing,1800,6,##at,0.038987
brass farthing,1800,7,deal,0.023459
brass farthing,1800,8,##h,0.022986
brass farthing,1800,9,more,0.021565
brass farthing,1800,10,word,0.018513
brass farthing,1800,11,penny,0.010579
brass farthing,1800,12,##l,0.009383
brass farthing,1800,13,##k,0.009067
brass farthing,1800,14,rap,0.007342
brass farthing,1800,15,##ot,0.007015
brass farthing,1800,16,##b,0.006349
brass farthing,1800,17,fig,0.005656
brass farthing,1800,18,',0.005218
brass farthing,1800,19,##on,0.004959
brass farthing,1860,0,shilling,0.504834
brass farthing,1860,1,farthing,0.330074
brass farthing,1860,2,penny,0.126654
brass farthing,1860,3,guinea,0.007195
brass farthing,1860,4,pound,0.003913
brass farthing,1860,5,hand,0.002505
brass farthing,1860,6,finger,0.002060
brass farthing,1860,7,dollar,0.001908
brass farthing,1860,8,pin,0.001022
brass farthing,1860,9,pen,0.000910
brass farthing,1860,10,cent,0.000777
brass farthing,1860,11,stone,0.000748
brass farthing,1860,12,£1,0.000703
brass farthing,1860,13,yard,0.000688
brass farthing,1860,14,pencil,0.000649
brass farthing,1860,15,£100,0.000603
brass farthing,1860,16,line,0.000575
brass farthing,1860,17,copper,0.000566
brass farthing,1860,18,man,0.000543
brass farthing,1860,19,foot,0.000508
brass farthing,1870,0,farthing,0.106019
brass farthing,1870,1,the,0.092535
brass farthing,1870,2,pounds,0.081213
brass farthing,1870,3,refusal,0.043770
brass farthing,1870,4,penny,0.040804
brass farthing,1870,5,",",0.040232
brass farthing,1870,6,##pence,0.036879
brass farthing,1870,7,a,0.035214
brass farthing,1870,8,being,0.034391
brass farthing,1870,9,consent,0.029776
brass farthing,1870,10,vote,0.027191
brass farthing,1870,11,title,0.026423
brass farthing,1870,12,dollar,0.024411
brass farthing,1870,13,more,0.019574
brass farthing,1870,14,than,0.018808
brass farthing,1870,15,which,0.018438
brass farthing,1870,16,shilling,0.018358
brass farthing,1870,17,denial,0.017486
brass farthing,1870,18,sum,0.016582
brass farthing,1870,19,their,0.016080
brass farthing,1880,0,for,0.661953
brass farthing,1880,1,deal,0.388714
brass farthing,1880,2,farthing,0.300495
brass farthing,1880,3,about,0.155553
brass farthing,1880,4,",",0.073078
brass farthing,1880,5,pence,0.067525
brass farthing,1880,6,##pence,0.056951
brass farthing,1880,7,bit,0.039780
brass farthing,1880,8,point,0.035918
brass farthing,1880,9,matter,0.029976
brass farthing,1880,10,pin,0.027700
brass farthing,1880,11,##t,0.019162
brass farthing,1880,12,thing,0.016656
brass farthing,1880,13,straw,0.015715
brass farthing,1880,14,##l,0.014126
brass farthing,1880,15,much,0.013581
brass farthing,1880,16,pounds,0.011899
brass farthing,1880,17,shillings,0.010343
brass farthing,1880,18,moment,0.009457
brass farthing,1880,19,##ch,0.007037
brass farthing,1890,0,farthing,0.390400
brass farthing,1890,1,deal,0.099995
brass farthing,1890,2,sum,0.079647
brass farthing,1890,3,consideration,0.066395
brass farthing,1890,4,about,0.063128
brass farthing,1890,5,##pence,0.057879
brass farthing,1890,6,amount,0.051123
brass farthing,1890,7,for,0.050002
brass farthing,1890,8,",",0.040423
brass farthing,1890,9,pin,0.038853
brass farthing,1890,10,guarantee,0.035010
brass farthing,1890,11,half,0.034018
brass farthing,1890,12,bit,0.033806
brass farthing,1890,13,of,0.033148
brass farthing,1890,14,part,0.032535
brass farthing,1890,15,percentage,0.031289
brass farthing,1890,16,portion,0.026218
brass farthing,1890,17,shilling,0.026042
brass farthing,1890,18,pence,0.025950
brass farthing,1890,19,more,0.025685
brass farthing,1900,0,farthing,0.372330
brass farthing,1900,1,interpretation,0.251261
